Title,Variety,Appelation,Rating,Price
Domaine La Tour de Gâtigne 2016 Rosé (Cévennes), Cévennes, Rhône Valley, 85, 14
Château de Lussac 2016  Bordeaux Blanc, Château de Lussac 2016  Bordeaux Blan, Rhône Valley, 88, 15
Producteurs Plaimont 2014 Le Faîte  (Saint-Mont), Saint-Mont, Bordeaux, 90, 46
Château Sainte-Croix 2016 Charmeur Rosé (Côtes de Provence), Côtes de Provence, Bordeaux, 88, 15
Château Pas du Cerf 2016 Rosé (Côtes de Provence), Côtes de Provence, Southwest France, 88, 21
Domaine de la Sanglière 2016 La Riviera Rosé (Côtes de Provence), Côtes de Provence, Southwest France, 88, 17
Château Plaisance 2014 Tot Cò Que Cal Negrette (Fronton), Fronton, Provence, 88, 25
Château Pas du Cerf 2016 Le Merle Rosé (Côtes de Provence), Côtes de Provence, Provence, 86, 16
Ravoire et Fils 2016 Retrofollies Rosé (Coteaux Varois en Provence), Coteaux Varois en Provence, Provence, 86, 13
Les Vins Bréban 2016 Les Hauts Plateaux Rosé (Alpes-de-Hautes-Provence), Alpes-de-Hautes-Provence, Provence, 85, 11
Lionel Osmin & Cie 2015  Pacherenc du Vic Bilh, Lionel Osmin & Cie 2015  Pacherenc du Vic Bil, Provence, 90, 16
Lionel Osmin & Cie 2014 Donibane Tannat-Cabernet Franc (Irrouléguy), Irrouléguy, Provence, 90, 30
Vino San Esteban 2015 Réserve Malbec (Comté Tolosan), Comté Tolosan, Southwest France, 85, 9
Georges Duboeuf 2015 Jean-Ernest Descombes  (Morgon), Morgon, Southwest France, 91, 22
Georges Duboeuf 2015 Jean-Ernest Descombes Côte du Py  (Morgon), Morgon, Provence, 90, 22
H to H 2014 Homage to Heritage Red (Côtes du Rhône), Côtes du Rhône, Provence, 86, 10
Château Beychevelle 2014 Amiral de Beychevelle  (Saint-Julien), Saint-Julien, Provence, 92, 50
Xavier Flouret 2015 Domaine la Gemière French Blonde  (Sancerre), Sancerre, Provence, 87, 21
Mailly Grand Cru 2007 Les Échansons Brut  (Champagne), Champagne, Provence, 95, 132
Le Brun de Neuville NV Lady de N. Cuvée Clovis  (Champagne), Champagne, Provence, 93, 67
De Venoge 2006 Louis XV Brut  (Champagne), Champagne, Champagne, 93, 153
De Venoge 2006 Louis XV Brut Rosé  (Champagne), Champagne, Champagne, 92, 207
Château Sainte-Marie 2014 Alios  (Cadillac Côtes de Bordeaux), Cadillac Côtes de Bordeaux, Champagne, 91, 14
Château du Seuil 2014 Domaine du Seuil  (Cadillac Côtes de Bordeaux), Cadillac Côtes de Bordeaux, Champagne, 88, 18
Château Berthenon 2014 Cuvée Henri  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Bordeaux, 88, 29
Domaine Charles Baur 2014 Cuvée Charles Riesling (Alsace), Alsace, Bordeaux, 90, 23
Domaine Charles Baur 2014 Fronenberg Gewurztraminer (Alsace), Alsace, Bordeaux, 90, 28
Château Rives-Blanques 2015 Odyssée Chardonnay (Limoux), Limoux, Bordeaux, 90, 18
Domaine Charles Baur 2015 Pinot Gris (Alsace), Alsace, Bordeaux, 87, 23
Château Bourseau 2012 La Croix de Bourseau  (Lalande de Pomerol), Lalande de Pomerol, Bordeaux, 91, 60
Château Bourseau 2012  Lalande de Pomerol, Château Bourseau 2012  Lalande de Pomero, Alsace, 90, 60
Château Bourseau 2011  Lalande de Pomerol, Château Bourseau 2011  Lalande de Pomero, Alsace, 89, 40
Château Bourseau 2011 La Croix de Bourseau  (Lalande de Pomerol), Lalande de Pomerol, Alsace, 89, 60
Château de Tigné 2010 Vieilles Vignes Cabernet Franc-Cabernet Sauvignon (Anjou), Anjou, Alsace, 88, 21
Vignobles Laffourcade 2011 Château Perray Jouannet Cabernet Franc (Anjou), Anjou, Languedoc-Roussillon, 87, 20
Château La Croix de Queynac 2015  Bordeaux Blanc, Château La Croix de Queynac 2015  Bordeaux Blan, Languedoc-Roussillon, 87, /A
Château La Mothe du Barry 2015 French Kiss Red (Bordeaux Clairet), Bordeaux Clairet, Alsace, 85, 13
Vignobles Falgueyret Léglise 2014 Monsieur Moustache  (Bordeaux), Bordeaux, Alsace, 84, 15
Albert Bichot 2014 Château Gris Premier Cru  (Nuits-St.-Georges), Nuits-St.-Georges, Bordeaux, 93, 120
Chanson Père et Fils 2013 Clos du Roi Premier Cru  (Beaune), Beaune, Bordeaux, 93, 68
Château Coussin 2015 Cuvée César à Sumeire Rosé (Côtes de Provence Sainte-Victoire), Côtes de Provence Sainte-Victoire, Provence, 93, 40
Domaine Sainte Lucie 2015 Domaine des Diables Bonbon Rosé (Côtes de Provence Sainte-Victoire), Côtes de Provence Sainte-Victoire, Provence, 90, 22
L'original French Kiss NV Pinot Noir (Vin de France), Vin de France, Provence, 87, 12
Domaine Sainte Lucie 2015 MiP Made in Provence Rosé (Côtes de Provence), Côtes de Provence, Provence, 87, 20
La Belle Collection 2015 Colette Rosé (Côtes de Provence), Côtes de Provence, France Other, 87, 17
Lionel Osmin & Cie 2015 Villa Chambre d'Amour White (Vin de France), Vin de France, France Other, 87, 11
Ravoire et Fils 2015 Retrofollies Rosé (Coteaux Varois en Provence), Coteaux Varois en Provence, Provence, 86, 13
L'original French Kiss NV Merlot (Vin de France), Vin de France, Provence, 85, 11
Voiturette 2015 Malbec (Vin de France), Vin de France, Provence, 85, 10
L'original French Kiss 2015 Malbec (Vin de France), Vin de France, Provence, 84, 11
L'original French Kiss 2015 Sauvignon Blanc (Vin de France), Vin de France, France Other, 84, 11
Grandissime 2015 Le Hameau Sauvignon Blanc (Vin de France), Vin de France, France Other, 84, /A
L'original French Kiss 2015 Chardonnay (Vin de France), Vin de France, Provence, 83, 12
L'original French Kiss NV Cabernet Sauvignon (Vin de France), Vin de France, Provence, 81, 11
Château Couhins 2013  Pessac-Léognan, Château Couhins 2013  Pessac-Léogna, France Other, 91, /A
Château des Fougères 2012 Clos Montesquieu  (Graves), Graves, France Other, 87, 36
Domaine Charles Baur 2013 Cuvée Charles Riesling (Alsace), Alsace, France Other, 90, 19
Domaine Charles Baur 2013 Fronenberg Gewurztraminer (Alsace), Alsace, France Other, 90, 22
Domaine Charles Baur 2013 Pinot Gris (Alsace), Alsace, France Other, 89, 19
Canard-Duchêne NV Charles VII Grande Cuvée de la Rosé Brut  (Champagne), Champagne, France Other, 90, 60
Robert Perroud 2014  Beaujolais-Villages, Robert Perroud 2014  Beaujolais-Village, Beaujolais, 88, 18
Georges Duboeuf 2014 Domaine de Lafayette  (Brouilly), Brouilly, Beaujolais, 87, /A
Luc Mérat NV La Diva Brut  (Champagne), Champagne, Beaujolais, 85, 60
Luc Mérat NV La Diva Rosé Brut  (Champagne), Champagne, Beaujolais, 85, 60
Château de Marsan 2013  Cadillac Côtes de Bordeaux, Château de Marsan 2013  Cadillac Côtes de Bordeau, Champagne, 87, 18
Château Les Bertrands 2014 Cuvée Prestige  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Champagne, 87, /A
Château Labesse 2012  Castillon Côtes de Bordeaux, Château Labesse 2012  Castillon Côtes de Bordeau, Champagne, 85, /A
Alliance Loire 2014 Les Ligériens  (Rosé d'Anjou), Rosé d'Anjou, Champagne, 84, 12
Château Tour Saint-Germain 2012 Excellence  (Blaye Côtes de Bordeaux), Blaye Côtes de Bordeaux, Bordeaux, 84, 28
Château Dina 2013  Castillon Côtes de Bordeaux, Château Dina 2013  Castillon Côtes de Bordeau, Bordeaux, 82, 14
My Essential 2014 French Rosé (Mediterranée), Mediterranée, Bordeaux, 86, 13
Château Lamartine 2011 Expression  (Cahors), Cahors, Bordeaux, 93, 42
Domaine du Cros 2014 Lo Sang del Païs  (Marcillac), Marcillac, Bordeaux, 87, 16
La Vieille Ferme 2013 Rosé (Ventoux), Ventoux, Bordeaux, 85, 9
Bailli de Provence 2014 Rosé (Côtes de Provence), Côtes de Provence, Loire Valley, 86, 15
Château du Rouët 2014 Vrac Rosé (Côtes de Provence), Côtes de Provence, Loire Valley, 84, 11
Château Dassault 2010 Le D de Dassault  (Saint-Émilion), Saint-Émilion, Bordeaux, 92, 40
Union de Producteurs de Lugon 2012 No 2 et No 5 de Francarney  (Fronsac), Fronsac, Bordeaux, 85, 17
Xavier Flouret 2013 Domaine la Gemière French Blonde  (Sancerre), Sancerre, Bordeaux, 88, 23
Château Brethous 2012 Cuvée Prestige  (Cadillac Côtes de Bordeaux), Cadillac Côtes de Bordeaux, Bordeaux, 91, 35
Château Maubert 2012  Cadillac Côtes de Bordeaux, Château Maubert 2012  Cadillac Côtes de Bordeau, Bordeaux, 90, 25
Domaine les Carmels 2012  Cadillac Côtes de Bordeaux, Domaine les Carmels 2012  Cadillac Côtes de Bordeau, Bordeaux, 90, 40
Château Brethous 2012  Cadillac Côtes de Bordeaux, Château Brethous 2012  Cadillac Côtes de Bordeau, Bordeaux, 89, 18
Château Tertre de Belvès 2012  Castillon Côtes de Bordeaux, Château Tertre de Belvès 2012  Castillon Côtes de Bordeau, Bordeaux, 84, 22
Château Haut Prieur 2012  Blaye Côtes de Bordeaux, Château Haut Prieur 2012  Blaye Côtes de Bordeau, Bordeaux, 83, 16
Château du Cayrou 2011 No 46  (Cahors), Cahors, Bordeaux, 90, 25
François Lurton 2013 Les Fumées Blanches Sauvignon Blanc (Vin de France), Vin de France, Bordeaux, 85, 16
Michel Vattan 2012 Cuvée Argile  (Sancerre), Sancerre, Bordeaux, 88, 25
Joseph Faiveley 2011 Fourchaume Premier Cru  (Chablis), Chablis, Bordeaux, 89, 51
Les Vignobles Gueissard 2013 Cuvée G Rosé (Côtes de Provence), Côtes de Provence, Bordeaux, 87, /A
Château Grand Corbin Manuel 2009  Saint-Émilion, Château Grand Corbin Manuel 2009  Saint-Émilio, Southwest France, 92, 30
Lionel Osmin & Cie 2011 Pied de Perdrix (Vin de Pays du Comté Tolosan), Vin de Pays du Comté Tolosan, Southwest France, 87, 13
Domaine de Terrebrune 2010 Red (Bandol), Bandol, France Other, 91, /A
Domaine Charles Baur NV Brut Sparkling (Crémant d'Alsace), Crémant d'Alsace, France Other, 85, 18
Dampierre NV Cuvée des Ambassadeurs Premier Cru Brut  (Champagne), Champagne, Loire Valley, 92, 70
Château de la Brède 2011 Cuvée Montesquieu  (Graves), Graves, Loire Valley, 90, 60
Xavier Flouret 2012 French Blonde  (Sancerre), Sancerre, Burgundy, 87, 22
Vignobles 46N118 2008 Noir 46  (Cahors), Cahors, Burgundy, 88, 14
Xavier Flouret 2011 Domaine Chatelain French Blonde  (Sancerre), Sancerre, Provence, 88, 22
Albert Bichot 2010 Domaine du Clos Frantin  (Chambertin), Chambertin, Provence, 95, /A
Joseph Drouhin 2010 Marquis de Laguiche Morgeot Premier Cru   (Chassagne-Montrachet), Chassagne-Montrachet, Burgundy, 95, 114
Albert Bichot 2010  Latricières-Chambertin, Albert Bichot 2010  Latricières-Chamberti, Burgundy, 94, /A
Albert Bichot 2010  Charmes-Chambertin, Albert Bichot 2010  Charmes-Chamberti, Burgundy, 94, /A
Albert Bichot 2010 Domaine du Pavillon  (Corton-Charlemagne), Corton-Charlemagne, Burgundy, 94, /A
Albert Bichot 2010 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée), Vosne-Romanée, Burgundy, 94, /A
Albert Bichot 2010 Clos des Maréchaudes  (Corton), Corton, Burgundy, 93, /A
Albert Bichot 2010 Les Chabiots Premier Cru  (Chambolle-Musigny), Chambolle-Musigny, Burgundy, 93, /A
Albert Bichot 2010 Domaine du Clos Frantin  (Clos de Vougeot), Clos de Vougeot, Burgundy, 93, /A
Albert Bichot 2010 Domaine du Pavillon Les Charmes Premier Cru  (Meursault), Meursault, Burgundy, 93, /A
Albert Bichot 2010 Domaine du Château Gris Premier Cru  (Nuits-St.-Georges), Nuits-St.-Georges, Burgundy, 93, /A
Albert Bichot 2010 Vide Bourse Premier Cru  (Chassagne-Montrachet), Chassagne-Montrachet, Burgundy, 92, /A
Albert Bichot 2010 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin), Gevrey-Chambertin, Burgundy, 92, /A
Albert Bichot 2010 Domaine du Pavillon Rugiens Premier Cru  (Pommard), Pommard, Burgundy, 91, /A
Albert Bichot 2010 Clos des Maréchaudes Premier Cru  (Aloxe-Corton), Aloxe-Corton, Burgundy, 91, /A
Albert Bichot 2010 Domaine du Pavillon Clos des Mouches Premier Cru  (Beaune), Beaune, Burgundy, 91, /A
Albert Bichot 2010 Domaine du Clos Frantin  (Vosne-Romanée), Vosne-Romanée, Burgundy, 90, /A
Albert Bichot 2010 Domaine du Clos Frantin Les Murots  (Gevrey-Chambertin), Gevrey-Chambertin, Burgundy, 90, /A
